Game,Tags
Plague Inc: Evolved,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on Tablet"
Superhot,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Stellaris,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
Ashes Of The Singularity: Escalation,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Includes level editor"
Brigador: Up-Armored Edition,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Includes level editor"
Shoppe Keep,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Stats,Remote Play on TV"
Maize,"Single-player,Partial Controller Support"
Tiny Echo,"Single-player,Steam Achievements"
This Is The Police,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Undertale,"Single-player,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet"
Dirt Rally,"MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Profile Features Limited 
										

"
Inside,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Metrico+,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on TV"
Gonner,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards"
The Turing Test,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Super Rude Bear Resurrection,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV"
A2Be - A Science Fiction Narrative,"Single-player,Profile Features Limited 
										

"
Layers Of Fear: Masterpiece Edition,Game not found
Black Mesa,"Single-player,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Includes Source SDK,Remote Play on Phone,Remote Play on Tablet"
The Witness,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Kingdom: New Lands Royal Edition,Game not found
Event[0],"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Tumblestone,"Single-player,Online PvP,Shared/Split Screen PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Slime-San,"Single-player,Steam Workshop,Partial Controller Support,Includes level editor"
Poly Bridge,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on Phone,Remote Play on Tablet"
Space Run Galaxy,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Total War: Warhammer,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop"
One Piece Pirate Warriors 3,"Single-player,Steam Achievements,Partial Controller Support,Remote Play Together"
Flat Heroes,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together"
"Rive: Wreck, Hack, Die, Retry","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards"
Morphblade,Single-player
Uurnog,"Single-player,Shared/Split Screen Co-op,Full controller support,Steam Cloud,Remote Play Together"
Ryse: Son Of Rome,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV"
Abzu,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards"
XCOM 2,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet"
Steamworld Heist,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Okhlos,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Project Highrise,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
Husk,"Single-player,Partial Controller Support"
Hollow Knight,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
"Oh, Deer!","Single-player,Full controller support,Steam Cloud"
Project Cars,"Single-player,Online PvP,Steam Achievements,Full controller support,VR Supported,Steam Trading Cards,Steam Cloud"
Mother Russia Bleeds,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
The Legend Of Heroes: Trails In The Sky,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Warhammer: End Times - Vermintide,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud"
Neon Chrome,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play on TV,Remote Play Together"
Jotun,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Hopiko,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Kimmy,"Single-player,Steam Cloud"
The Escapists: Supermax Edition,Game not found
Mordheim: City Of The Damned,"Single-player,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Hacknet,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Includes level editor"
Western Press,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play on TV,Remote Play Together"
The Flame In The Flood,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Dragon's Dogma: Dark Arisen,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Minion Masters,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Remote Play on Tablet"
Broforce,"Single-player,Online PvP,Shared/Split Screen PvP,Online Co-op,Shared/Split Screen Co-op,Full controller support,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Rebel Galaxy,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Beyond Eyes,Game not found
Kathy Rain,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Styx: Master Of Shadows,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
Stardew Valley,"Single-player,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together"
Pirate Pop Plus,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Slime Rancher (Early Access),Game not found
Hotline Miami 2: Wrong Number,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV"
Deponia Doomsday,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet"
Train Valley,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Action Henk,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Steam Turn Notifications,Includes level editor,Remote Play on TV,Remote Play Together"
Grim Dawn,"Single-player,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV"
Thoth,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together"
Fidel - Dungeon Rescue,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
The Banner Saga,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Includes level editor,Remote Play on Tablet,Remote Play on TV"
Not on steam anymore (delisted),Game not found
Sheltered,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Epistory - Typing Chronicles,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards"
Town Of Salem,"Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Steam Cloud"
Soma,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV,Remote Play Together"
The Uncertain,"Single-player,Tracked Controller Support,VR Only"
The Incredible Adventures Of Van Helsing: Final Cut,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards"
The Jackbox Party Pack 2,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together"
Poi (Early Access),Game not found
Planet Of The Eyes,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Starward Rogue,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Call Of Duty: Black Ops III - Multiplayer Starter Pack,"Full controller support,Valve Anti-Cheat enabled,Steam Leaderboards"
Random Access Murder,Online PvP
Disc Room,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards"
Kentucky Route Zero,"Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Remote Play on TV"
Satellite Reign,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Tis-100,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Includes level editor"
The Red Solstice,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud,Stats,Steam Leaderboards"
Avernum 2: Crystal Souls,"Single-player,Steam Achievements,Steam Cloud,Stats"
Hurtworld,"Cross-Platform Multiplayer,Remote Play on Tablet"
Cthulhu Realms - Full Version,"Single-player,Cross-Platform Multiplayer,Downloadable Content,Profile Features Limited 
										

"
Copoka,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
The Forest,"Single-player,Online Co-op,LAN Co-op,Tracked Controller Support,VR Supported,Partial Controller Support,Steam Cloud"
Planetary Annihilation: Titans,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements"
Keep Talking And Nobody Explodes,"Shared/Split Screen Co-op,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Workshop,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Dungeon Of The Endless - Crystal Edition,"Single-player,Online PvP,Online Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Steredenn,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together"
Rocket League,"Single-player,Online PvP,Downloadable Content,Steam Leaderboards"
Wasted,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
Cat Girl Without Salad,Game not found
Infinifactory,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
Crawl,"Single-player,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Galak-Z,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
Jumpjet Rex,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Fran Bow,"Single-player,Steam Achievements,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet"
Oddworld: New 'N' Tasty,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
1993 Space Machine,"Single-player,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play Together"
Mad Max,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Gunmetal Arcadia Zero,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
Nuclear Throne,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Renowned Explorers: International Society,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards"
Nova-111,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
The Magic Circle,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Super Avalanche,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together"
South Park: The Stick Of Truth,"Single-player,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
This War Of Mine,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud"
Stikbold! A Dodgeball Adventure,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Wasteland 2: Director's Cut,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud"
Grav,"Single-player,Partial Controller Support"
Shantae And The Pirate's Curse,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV"
I Am Bread,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV"
Sentinels Of The Multiverse,"Single-player,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play Together"
Ark: Survival Evolved,"Single-player,MMO,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Remote Play on Tablet"
Battlesloths,"Single-player,Online PvP,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together"
Switchcars,"Single-player,Full controller support"
Titan Souls,"Single-player,Steam Achievements,Full controller support,Remote Play on TV"
Broken Age,"Single-player,Full controller support,Steam Trading Cards,Steam Cloud"
Volume,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV"
Penarium,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Remote Play Together"
Dropsy,Single-player
Alien: Isolation,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV"
Elephant In The Room,Single-player
Planetoid Pioneers,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Full controller support,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together"
The Talos Principle,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor,Remote Play on TV"
The Masterplan,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
Mushroom 11,"Single-player,Steam Achievements,Steam Trading Cards"
Grim Fandango Remastered,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available,Remote Play on TV,Remote Play Together"
Spelunky,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
A Fistful Of Gun,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play Together"
Banished,"Single-player,Steam Achievements,Remote Play on Phone,Remote Play on Tablet"
Rust,"MMO,Online PvP,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet"
Payday 2,"Single-player,Online Co-op,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,In-App Purchases,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV"
Neon Struct Deluxe Edition,Game not found
Chroma Squad,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Company Of Heroes 2,"Single-player,Online PvP,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats"
Towerfall Ascension,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Saints Row Iv,"Single-player,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on TV"
Besiege,"Single-player,Online PvP,LAN PvP,Online Co-op,LAN Co-op,Steam Achievements,Steam Workshop,Includes level editor,Remote Play on Tablet"
Valkyria Chronicles,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Lethal League,"Single-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Remote Play Together"
Sanctuaryrpg: Black Edition,"Single-player,Steam Trading Cards,Captions available,Steam Cloud"
Towerfall Ascension,"Single-player,Shared/Split Screen PvP,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together"
Legend Of Grimrock,"Single-player,Steam Achievements,Steam Workshop,Includes level editor"
